"FeatureID"	"ASV"
"eaea827cfc4d37a2c0c8ee1a50224bea"	"ASV282"
"457af8ff2af57feecef7fde3b3efafcd"	"ASV283"
"38bc03ca5cf601d145fcf953a475e565"	"ASV284"
"cfdd357f49e41e277503718dc6e477c5"	"ASV285"
"da6adcc0302a507e2b45ca44b81504dd"	"ASV286"
"375971fc6a07aaf3f5fc44363d2db561"	"ASV287"
"07d955c09b455e4828a3a084e797c4c3"	"ASV288"
"8a224e1c107a302dbdfc84afb2a8a4b9"	"ASV289"
"d9dbb79ce58da640eb3ffb206404111d"	"ASV290"
"d06b8824087b306d64870092e6e5e7e1"	"ASV291"
"120327583b50ef6cb3c7ce355686020b"	"ASV292"
"d1bf898ad4b8369ac61012f7f6e7e2bd"	"ASV293"
"55c60b18855750c4e37f7381c3431bb0"	"ASV294"
"5cda9d6a94de5735ee2af3548282e767"	"ASV295"
"3e24a9d6c787cbad8a63e43a12f76d91"	"ASV296"
"f78ecc919ad426ee1f3697fb9e4e6eab"	"ASV297"
"b54ab48299859029ea3315daae501630"	"ASV298"
"1aa721afa6424d75f05cb778443275a8"	"ASV299"
"5bc9021a44bd803ba0012318190ffded"	"ASV300"
"1853ed93d4085361919c2d47e5afa44e"	"ASV301"
"89f014a82f5d6cccf39f02a145c31853"	"ASV302"
"e1d6acc160a1283d9e269a6b17be3476"	"ASV303"
"289975233496e3c981fed793933bfcb6"	"ASV304"
"2e6f6586e02b9a435821969f76a86957"	"ASV305"
"94526e7205e5348f5e96c0156f9f8102"	"ASV306"
"569e7bdc7d91f020c1a84c9be52f6c5f"	"ASV307"
"7a760360ebdb18638b84fa35d8cc1a5d"	"ASV308"
"2aadb6a95ae5fd8458691f0c35bd122d"	"ASV309"
"241586ca0451665b73f133c6e8e02b17"	"ASV310"
"e9e268b8ea7ce81ce89d5660368effec"	"ASV311"
"0a3288187159bfed435e9a54c3d30232"	"ASV312"
"fda8c4503a3219689f34413b9ec2f9c6"	"ASV313"
"6e28274945a01105b131410334c0b053"	"ASV314"
"8b81f88b82db1c17be7e6c8e140ff64c"	"ASV315"
"c1ef48fdf35782dea3a30529d09686fa"	"ASV316"
"d971aef85c7f3aa770949c695a23108d"	"ASV317"
"85a2d1b0ee4cec86f73c801da7fdbfdb"	"ASV318"
"96922689f0e6718367a7c7d12cf34197"	"ASV319"
"fcd568e0cb0174ee4445a893d2c711df"	"ASV320"
"1cbf1dffc978015771d52a2e2e3bc7af"	"ASV321"
"4c074da828e624c1ddf641c93330d484"	"ASV322"
"a0af2a2c135b74d29f4710d4646932c9"	"ASV323"
"afbc1177423c4d1570a98b19c35cc1f7"	"ASV324"
"9a56ca016c896ffeb3e09bc67c3b9637"	"ASV325"
"09623fc66586d11f78eda0dc107a26d6"	"ASV326"
"18a61f52e68d88ad556df54a757b22fd"	"ASV327"
"535e32c0ec6ca61311e67455f3fe4172"	"ASV328"
"7a72f3bc32aca3ed9c4584ce011d8da4"	"ASV329"
"06d9570c757c2870aa29ecd5776f6968"	"ASV330"
"2109824036e53e0212903166dd22a94e"	"ASV331"
"ba1d752a5d19b0f3278d59caf3165155"	"ASV332"
"05b21bbb27bc6dbc0ce61deb3a5e75af"	"ASV333"
"73d9c19ad078519a915506a68f9dc8d2"	"ASV334"
"8d030fbd182eb48d1632e88804f2d615"	"ASV335"
"470858314b52dba8fde85fd21fb6ee14"	"ASV336"
"5224d722f31f8a6bb5e25df425ccdb44"	"ASV337"
"f7b92d29b2ffabe9142a488b5a3c16b5"	"ASV338"
"fe6227eae109fa10a21a8b95d4c0bc29"	"ASV339"
"71235fc8eebe21ea9f8012031f465fe6"	"ASV340"
"c15e079a8867ad0a7d1dd880a8aea39a"	"ASV341"
"66277fc9958f595979b5bdb820fb8926"	"ASV342"
"abfc54a8cb04e513184b87d2ca4bb929"	"ASV343"
"3c36aaa161c1d35df50fb24b47fb154e"	"ASV344"
"e162a4ff8c59d9d020d8211237098f53"	"ASV345"
"d66aef987cd8c4166b3d128c13bd88e8"	"ASV346"
"01e87586cc8081d46e7970dee594c33f"	"ASV347"
"9e29d77f8a338cfc546a37b2cc56b6c1"	"ASV348"
"fad0c3b9fcba81841b18d97f2f77df62"	"ASV349"
"aeefa7936232e599c43b51d0e0b56e97"	"ASV350"
"5ebda4af8b31c0ea226883f8e112e3eb"	"ASV351"
"6249bce62d1eda05eaa0da161dfdc064"	"ASV352"
"c4e09396158592d5bc62f951c1dd7ac6"	"ASV353"
"9607fc523a3b3edcceefdfc2fb3f7e3f"	"ASV354"
"6ca816f86725f829cbeca7721dfd258f"	"ASV355"
"eb6ba2d5606a0edf50136e9d0d6d17ed"	"ASV356"
"bf38026b8d08e55375054574af8cf7de"	"ASV357"
"489092f767bf1e56021a036ef3daeac1"	"ASV358"
"7fc011d529570f0c97237d5d8f39e9fe"	"ASV359"
"2340e4ac2682025d1158b59fc354c8f9"	"ASV360"
"e85e75c15df7888cc8cf23aa2a22ae1d"	"ASV361"
"6db390bdaf84e234461041bc6632e233"	"ASV362"
"5fa031ab5ae97079d962eaf667a04d91"	"ASV363"
"5d37b0e95ac65fc43456a0208cfa7c20"	"ASV364"
"f3c1a53e3db0c27d9b44d810cd4dbbba"	"ASV365"
"4e7b8d6eae69a57795f6136b5386a0af"	"ASV366"
"e4d9e3abfc9671287efdd6146a3a1e06"	"ASV367"
"9afbabc7329b98356ce55319286aeb68"	"ASV368"
"240fa78147c9baec62a0951cec675806"	"ASV369"
"72effa93bd068369e149e2ba1c6b5697"	"ASV370"
